symbol,date,open,high,low,close,volume
20MICRONS,2026-01-07,205.4,211.2,204.64,207.54,105576
20MICRONS,2026-01-08,206.9,209.89,200.25,201.01,135437
20MICRONS,2026-01-09,200.0,201.98,194.3,195.72,109967
20MICRONS,2026-01-12,194.94,195.5,190.0,192.88,123892
20MICRONS,2026-01-13,193.0,197.0,189.68,190.64,100472
20MICRONS,2026-01-14,190.82,195.0,189.82,190.47,71917
20MICRONS,2026-01-16,191.01,191.9,184.1,186.11,117606
20MICRONS,2026-01-19,186.0,186.0,183.0,185.43,81647
20MICRONS,2026-01-20,184.2,185.6,175.67,176.9,136376
20MICRONS,2026-01-21,174.25,178.6,172.11,174.62,139561
20MICRONS,2026-01-22,176.54,182.5,176.13,180.07,105568
20MICRONS,2026-01-23,180.55,182.0,178.2,179.01,90742
20MICRONS,2026-01-27,177.81,178.0,167.05,168.75,209688
20MICRONS,2026-01-28,168.76,181.78,168.76,178.24,133775
20MICRONS,2026-01-29,179.7,179.7,172.61,173.77,83150
20MICRONS,2026-01-30,175.31,176.5,169.5,175.28,73668
20MICRONS,2026-02-01,174.83,178.02,171.0,172.55,57259
20MICRONS,2026-02-02,175.0,175.0,162.52,168.86,126691
20MICRONS,2026-02-03,178.8,178.8,170.4,172.88,108007
20MICRONS,2026-02-04,172.88,175.85,168.36,170.59,207805
20MICRONS,2026-02-05,171.41,173.49,166.91,168.34,101428
20MICRONS,2026-02-06,168.55,173.0,167.0,171.02,134059
20MICRONS,2026-02-09,172.6,187.05,172.6,183.87,284350
20MICRONS,2026-02-10,183.87,184.64,180.36,181.73,56973
20MICRONS,2026-02-11,181.73,201.5,181.73,188.07,555072
20MICRONS,2026-02-12,188.07,195.34,185.29,187.23,221335
20MICRONS,2026-02-13,185.0,186.11,180.1,181.07,76537
20MICRONS,2026-02-16,181.07,184.63,179.97,183.06,62560
20MICRONS,2026-02-17,182.5,186.8,182.01,184.77,44683
20MICRONS,2026-02-18,184.55,186.34,181.0,181.95,62050
20MICRONS,2026-02-19,184.0,186.75,180.0,180.86,90929
20MICRONS,2026-02-20,181.64,181.64,177.63,178.76,50087
20MICRONS,2026-02-23,180.28,181.0,177.45,178.86,61886
20MICRONS,2026-02-24,179.04,179.49,172.75,175.7,100039
20MICRONS,2026-02-25,175.7,177.8,174.01,174.92,45707
20MICRONS,2026-02-26,174.1,178.5,174.1,176.35,41724
20MICRONS,2026-02-27,175.24,181.38,173.65,174.69,69944
20MICRONS,2026-03-02,171.38,171.38,163.81,170.18,72056
20MICRONS,2026-03-04,166.6,170.18,164.56,168.88,99513
20MICRONS,2026-03-05,169.88,171.69,165.33,167.43,64770
20MICRONS,2026-03-06,166.1,169.38,166.1,166.87,33908
20MICRONS,2026-03-09,161.3,166.87,160.0,163.78,66311
20MICRONS,2026-03-10,164.0,168.09,164.0,166.92,38895
20MICRONS,2026-03-11,167.33,170.17,165.0,166.61,82201
20MICRONS,2026-03-12,164.1,166.25,161.72,163.09,102669
20MICRONS,2026-03-13,161.53,163.24,156.35,157.25,107765
20MICRONS,2026-03-16,156.1,157.94,146.35,151.31,357805
